id,name,db_type,host,username,password,port,created_at
1,conection1,postgres,localhost,root,root,3306,Wed Apr 02 2025 11:18:43 GMT+0530 (India Standard Time)
2,conection11,mysql,localhost,root,root,3306,Wed Apr 02 2025 11:19:04 GMT+0530 (India Standard Time)
3,Bharti Pund,MySQL,localhost,root,root,3306,Wed Apr 02 2025 11:54:09 GMT+0530 (India Standard Time)
4,M,MySQL,localhost,root,root,3306,Wed Apr 02 2025 11:55:15 GMT+0530 (India Standard Time)
5,M,MySQL,localhost,root,root,3306,Wed Apr 02 2025 11:56:25 GMT+0530 (India Standard Time)
6,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 11:57:40 GMT+0530 (India Standard Time)
7,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:00:32 GMT+0530 (India Standard Time)
8,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:00:33 GMT+0530 (India Standard Time)
9,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:00:33 GMT+0530 (India Standard Time)
10,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:00:33 GMT+0530 (India Standard Time)
11,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:00:33 GMT+0530 (India Standard Time)
12,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:01:14 GMT+0530 (India Standard Time)
13,M,MySQL,localhost,root,1234,3306,Wed Apr 02 2025 12:01:14 GMT+0530 (India Standard Time)
14,app pass,MySQL,localhost,root,root,3306,Wed Apr 02 2025 12:01:59 GMT+0530 (India Standard Time)
15,plan,MySQL,LOCALHOST,ROOT,ROOT,3306,Wed Apr 02 2025 12:16:18 GMT+0530 (India Standard Time)
16,Tanvi Sharma,MySQL,LOCALHOST,root,1234,3306,Wed Apr 02 2025 12:18:43 GMT+0530 (India Standard Time)
17,Tanvi Sharma,MySQL,LOCALHOST,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 12:21:01 GMT+0530 (India Standard Time)
18,app pass,MySQL,3306,1,1,3006,Wed Apr 02 2025 12:25:20 GMT+0530 (India Standard Time)
19,plan,MySQL,localhost,3,2,3306,Wed Apr 02 2025 12:30:53 GMT+0530 (India Standard Time)
20,M,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 12:34:59 GMT+0530 (India Standard Time)
21,M,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 12:35:34 GMT+0530 (India Standard Time)
22,M,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 12:36:56 GMT+0530 (India Standard Time)
23,Bharti Pund,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 12:39:02 GMT+0530 (India Standard Time)
24,app pass,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 14:07:38 GMT+0530 (India Standard Time)
25,app pass,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 14:08:18 GMT+0530 (India Standard Time)
26,app pass,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 14:09:57 GMT+0530 (India Standard Time)
27,plan,MySQL,localhost,tanvi@123.com,tanvi,3306,Wed Apr 02 2025 14:15:27 GMT+0530 (India Standard Time)
